54.35,62.76
67.03,68.45
69.06,66.86
69.41,69.69
71.30,71.47
73.03,72.50
73.78,76.14
77.96,77.46
79.74,79.47
80.59,79.69
81.15,81.24
82.19,81.30
82.36,80.32
83.07,82.65
82.93,82.41
83.27,82.30
84.16,82.97
84.58,83.60
85.04,83.90
85.24,83.26
85.30,84.14
85.68,85.27
86.34,84.05
86.26,84.61
86.33,84.35
87.20,83.29
87.21,85.17
87.41,84.92
87.45,85.30
87.76,85.65
88.14,85.35
88.21,85.49
88.56,85.24
88.76,85.01
89.07,85.82
88.93,85.38
89.20,84.77
89.38,85.64
89.52,85.64
89.77,85.98
90.10,85.88
90.05,85.65
89.92,86.09
90.39,85.01
90.65,86.36
90.56,85.64
90.58,85.86
91.14,85.94
91.17,86.31
90.94,86.04
