0.84,0.76,0.73,0.85,0.66,0.85
0.88,0.76,0.81,0.87,0.67,0.91
0.89,0.76,0.83,0.87,0.64,0.93
0.90,0.76,0.86,0.89,0.73,0.93
0.91,0.77,0.86,0.88,0.72,0.94
0.91,0.77,0.87,0.90,0.71,0.94
0.90,0.78,0.85,0.89,0.74,0.93
0.92,0.78,0.88,0.90,0.70,0.95
0.92,0.78,0.88,0.90,0.76,0.95
0.92,0.79,0.89,0.91,0.75,0.95
0.93,0.79,0.88,0.90,0.76,0.95
0.93,0.79,0.89,0.91,0.73,0.95
0.93,0.80,0.89,0.91,0.76,0.96
0.93,0.80,0.88,0.90,0.77,0.95
0.93,0.80,0.89,0.91,0.78,0.95
0.93,0.80,0.89,0.91,0.76,0.95
0.94,0.80,0.89,0.91,0.77,0.95
0.94,0.81,0.90,0.91,0.78,0.95
0.93,0.81,0.90,0.91,0.78,0.95
0.93,0.80,0.90,0.91,0.79,0.96
0.93,0.82,0.89,0.91,0.79,0.95
0.94,0.82,0.90,0.92,0.79,0.96
0.93,0.82,0.90,0.92,0.79,0.96
0.94,0.76,0.90,0.92,0.79,0.96
0.94,0.82,0.90,0.92,0.79,0.96
0.94,0.79,0.90,0.91,0.80,0.96
0.94,0.81,0.90,0.92,0.80,0.96
0.94,0.82,0.90,0.92,0.78,0.96
0.94,0.82,0.90,0.92,0.80,0.96
0.93,0.80,0.90,0.92,0.80,0.96
0.94,0.82,0.91,0.92,0.78,0.96
0.94,0.83,0.91,0.92,0.80,0.96
0.94,0.82,0.90,0.92,0.80,0.96
0.94,0.83,0.91,0.92,0.79,0.96
0.94,0.83,0.90,0.92,0.80,0.95
0.94,0.82,0.91,0.92,0.82,0.96
0.94,0.82,0.91,0.92,0.81,0.96
0.94,0.82,0.91,0.92,0.81,0.96
0.94,0.82,0.90,0.92,0.82,0.95
0.94,0.82,0.91,0.92,0.79,0.96
0.94,0.81,0.91,0.92,0.82,0.96
0.94,0.83,0.91,0.92,0.81,0.96
0.94,0.84,0.90,0.92,0.82,0.95
0.94,0.83,0.91,0.92,0.82,0.96
0.94,0.84,0.91,0.92,0.82,0.96
0.94,0.84,0.90,0.92,0.81,0.96
0.94,0.81,0.90,0.92,0.81,0.96
0.94,0.83,0.90,0.92,0.81,0.96
0.94,0.84,0.91,0.92,0.81,0.96
0.94,0.84,0.91,0.92,0.81,0.96
