38.52,49.06
54.51,58.51
59.42,60.42
62.49,63.23
63.59,63.90
63.42,64.19
64.08,65.08
64.94,63.87
65.19,64.93
65.89,64.63
65.40,64.90
66.20,66.02
67.02,66.70
66.71,65.49
67.24,66.96
67.34,67.66
68.24,67.63
68.03,67.89
68.12,67.34
68.42,67.71
68.88,67.00
69.18,68.02
69.08,68.32
69.18,68.45
69.27,68.19
69.60,67.79
69.89,68.67
70.19,69.56
70.63,69.59
70.71,69.73
70.76,69.43
71.20,69.99
71.89,70.01
71.47,68.95
71.42,69.72
71.72,69.91
71.57,69.46
72.64,73.77
76.65,75.86
76.91,75.81
77.14,76.27
77.65,75.82
77.91,76.39
77.52,76.18
77.66,75.68
78.14,76.37
78.47,76.26
78.06,75.44
78.58,76.63
78.56,76.56
