43.87,50.11
51.70,56.01
57.16,59.41
62.20,64.00
65.07,66.26
66.83,66.44
68.39,67.38
68.99,68.44
70.26,69.65
71.13,69.86
71.68,69.65
71.84,70.56
72.87,70.78
73.24,70.71
74.12,71.61
74.61,71.75
75.56,73.37
77.04,74.40
77.60,74.87
78.31,74.54
78.85,74.43
79.08,75.12
79.65,75.06
80.20,75.69
80.55,76.09
80.97,75.03
81.76,75.31
82.02,76.57
82.06,75.35
82.32,76.23
82.49,76.34
83.40,75.93
83.37,76.66
83.64,76.11
84.02,76.56
84.63,76.95
84.76,77.28
85.05,76.86
85.11,76.50
85.15,77.24
85.47,75.80
85.74,76.57
85.35,76.56
86.04,77.46
86.13,77.29
86.16,77.40
86.56,76.75
86.80,76.14
86.77,77.38
86.82,76.77
