72.61,78.74
87.02,90.98
92.11,92.59
93.51,93.55
94.14,93.94
94.32,94.78
94.56,94.57
94.90,94.79
95.14,95.09
95.26,95.14
95.39,94.90
95.59,95.46
95.70,95.41
95.78,95.63
96.04,95.65
96.07,96.01
96.19,95.99
96.28,95.93
96.41,96.11
96.50,95.57
96.66,96.11
96.71,96.17
96.56,95.93
96.70,96.27
96.85,96.21
96.86,96.19
96.98,95.98
96.96,96.30
97.03,96.25
97.04,96.38
97.22,96.57
97.44,96.71
97.40,96.38
97.56,96.55
97.68,96.67
97.66,96.42
97.70,96.58
97.84,96.46
97.68,96.48
97.77,96.63
97.84,96.63
97.93,96.76
97.83,96.52
97.97,96.08
98.03,96.80
98.03,96.75
97.97,96.72
98.10,96.63
98.10,96.64
98.06,96.82
