0.94,0.93,0.89,0.00,0.69,0.99,0.77,0.90,0.64,0.44,0.68,0.54
0.96,0.95,0.95,0.00,0.69,0.99,0.77,0.95,0.65,0.74,0.68,0.71
0.94,0.93,0.96,0.75,0.83,0.99,0.82,0.95,0.68,0.73,0.61,0.69
0.95,0.92,0.95,0.82,0.87,1.00,0.80,0.91,0.74,0.73,0.65,0.68
0.94,0.92,0.95,0.75,0.84,0.99,0.85,1.00,0.66,0.65,0.65,0.69
0.93,0.90,0.97,0.87,0.90,1.00,0.80,0.95,0.60,0.73,0.62,0.65
0.85,0.83,0.94,0.71,0.83,1.00,0.78,0.91,0.63,0.72,0.64,0.67
0.95,0.93,0.95,0.88,0.91,1.00,0.80,0.91,0.73,0.77,0.69,0.71
0.95,0.94,0.98,0.91,0.93,1.00,0.79,0.91,0.73,0.78,0.65,0.68
0.95,0.93,0.97,0.91,0.93,1.00,0.79,0.95,0.74,0.75,0.67,0.65
0.94,0.94,0.97,0.91,0.91,1.00,0.78,1.00,0.66,0.64,0.65,0.65
0.96,0.94,0.97,0.88,0.91,1.00,0.73,1.00,0.62,0.65,0.58,0.65
0.96,0.95,0.97,0.92,0.93,1.00,0.69,1.00,0.73,0.72,0.67,0.67
0.95,0.92,0.95,0.92,0.94,1.00,0.76,0.95,0.66,0.72,0.65,0.69
0.95,0.93,0.97,0.90,0.92,1.00,0.79,0.95,0.67,0.72,0.63,0.67
0.96,0.94,0.97,0.91,0.93,1.00,0.79,1.00,0.75,0.73,0.71,0.59
0.95,0.93,0.97,0.92,0.93,1.00,0.77,0.95,0.72,0.75,0.64,0.65
0.96,0.92,0.94,0.90,0.92,1.00,0.76,0.90,0.75,0.79,0.69,0.70
0.96,0.94,0.97,0.88,0.91,1.00,0.72,0.95,0.71,0.65,0.64,0.71
0.97,0.93,0.92,0.93,0.94,1.00,0.76,0.91,0.74,0.71,0.67,0.69
0.95,0.96,0.95,0.85,0.89,1.00,0.77,0.86,0.73,0.69,0.67,0.56
0.92,0.90,0.98,0.91,0.92,1.00,0.84,0.91,0.73,0.78,0.69,0.71
0.85,0.85,0.90,0.86,0.89,1.00,0.84,0.91,0.67,0.77,0.69,0.71
0.92,0.91,0.97,0.93,0.93,1.00,0.78,0.95,0.78,0.78,0.72,0.72
0.95,0.96,0.96,0.92,0.93,1.00,0.77,0.95,0.70,0.75,0.63,0.69
0.94,0.93,0.97,0.90,0.90,1.00,0.80,1.00,0.78,0.75,0.72,0.71
0.96,0.94,0.96,0.90,0.92,1.00,0.86,0.95,0.68,0.61,0.65,0.68
0.98,0.95,0.97,0.92,0.93,1.00,0.80,1.00,0.72,0.71,0.62,0.65
0.96,0.94,0.97,0.92,0.93,1.00,0.72,1.00,0.74,0.73,0.60,0.68
0.95,0.94,0.97,0.90,0.92,1.00,0.84,1.00,0.71,0.75,0.65,0.68
0.94,0.91,0.96,0.88,0.91,1.00,0.64,0.84,0.76,0.70,0.68,0.68
0.94,0.92,0.98,0.91,0.92,1.00,0.77,1.00,0.65,0.75,0.62,0.67
0.95,0.94,0.97,0.93,0.94,1.00,0.78,0.87,0.67,0.73,0.64,0.70
0.93,0.88,0.91,0.92,0.94,1.00,0.84,1.00,0.68,0.78,0.60,0.71
0.92,0.87,0.94,0.91,0.93,1.00,0.76,1.00,0.73,0.73,0.63,0.67
0.96,0.92,0.95,0.91,0.93,1.00,0.82,0.91,0.70,0.77,0.67,0.63
0.96,0.94,0.97,0.90,0.92,1.00,0.78,1.00,0.70,0.69,0.64,0.69
0.97,0.96,0.96,0.88,0.91,1.00,0.82,0.95,0.69,0.78,0.67,0.68
0.94,0.93,0.95,0.90,0.92,1.00,0.68,0.83,0.70,0.72,0.69,0.68
0.96,0.95,0.97,0.92,0.93,1.00,0.77,0.91,0.69,0.73,0.66,0.64
0.96,0.95,0.97,0.90,0.92,0.99,0.76,0.95,0.71,0.76,0.67,0.71
0.96,0.94,0.97,0.92,0.93,1.00,0.65,0.86,0.74,0.72,0.67,0.68
0.98,0.96,0.98,0.92,0.93,1.00,0.79,0.91,0.69,0.76,0.66,0.69
0.95,0.94,0.98,0.91,0.92,1.00,0.71,0.91,0.65,0.78,0.68,0.68
0.98,0.96,0.96,0.90,0.92,1.00,0.83,0.95,0.55,0.68,0.67,0.68
0.96,0.94,0.96,0.93,0.93,1.00,0.78,0.95,0.65,0.74,0.67,0.67
0.93,0.89,0.98,0.91,0.93,1.00,0.74,0.87,0.62,0.75,0.61,0.72
0.94,0.91,0.96,0.89,0.92,1.00,0.86,1.00,0.67,0.71,0.68,0.65
0.95,0.92,0.97,0.91,0.93,1.00,0.69,1.00,0.63,0.70,0.62,0.65
0.96,0.95,0.96,0.92,0.93,1.00,0.77,1.00,0.65,0.69,0.62,0.63
