34.60,57.12
68.08,74.19
78.54,82.73
84.86,83.87
86.88,84.63
88.87,84.12
89.78,84.28
90.52,84.91
91.99,84.54
92.46,87.19
92.91,83.90
93.45,86.46
93.42,84.66
94.04,86.94
94.22,82.57
94.44,85.14
94.87,86.65
94.69,87.63
95.04,83.78
95.27,85.71
95.40,88.52
95.61,89.22
95.84,89.50
95.53,86.08
95.95,83.78
95.99,87.57
96.38,88.11
96.23,89.63
96.53,88.90
96.31,89.91
96.20,89.28
96.63,85.20
96.50,89.03
96.79,88.68
96.96,87.13
96.91,89.31
96.97,88.11
97.05,87.38
96.96,89.22
96.88,89.03
96.96,89.72
97.15,90.83
97.00,89.15
97.06,89.18
97.06,90.04
97.11,88.14
97.01,89.28
97.27,89.75
97.14,88.17
97.49,89.53
