0.73,0.59,0.40,0.00,0.53,0.20
0.74,0.61,0.42,0.15,0.75,0.59
0.76,0.64,0.25,0.39,0.81,0.59
0.78,0.65,0.46,0.21,0.81,0.64
0.78,0.64,0.47,0.25,0.80,0.66
0.77,0.65,0.50,0.09,0.82,0.67
0.78,0.64,0.49,0.31,0.83,0.68
0.78,0.65,0.45,0.24,0.82,0.66
0.78,0.64,0.52,0.21,0.84,0.67
0.78,0.65,0.49,0.34,0.78,0.64
0.79,0.65,0.51,0.31,0.79,0.66
0.79,0.66,0.49,0.41,0.80,0.67
0.79,0.65,0.48,0.38,0.85,0.68
0.79,0.63,0.51,0.33,0.78,0.67
0.79,0.64,0.50,0.44,0.84,0.68
0.79,0.65,0.53,0.45,0.85,0.68
0.78,0.64,0.53,0.47,0.85,0.68
0.79,0.66,0.52,0.50,0.85,0.67
0.79,0.65,0.52,0.45,0.81,0.67
0.79,0.66,0.56,0.49,0.84,0.65
0.79,0.65,0.52,0.49,0.81,0.66
0.79,0.66,0.53,0.49,0.83,0.68
0.79,0.65,0.49,0.48,0.85,0.69
0.79,0.65,0.55,0.48,0.85,0.69
0.79,0.64,0.52,0.48,0.83,0.69
0.80,0.66,0.46,0.49,0.82,0.69
0.80,0.65,0.52,0.54,0.85,0.68
0.80,0.66,0.57,0.47,0.86,0.71
0.80,0.66,0.56,0.47,0.86,0.70
0.80,0.66,0.52,0.54,0.87,0.71
0.80,0.64,0.57,0.50,0.85,0.71
0.80,0.66,0.58,0.49,0.86,0.71
0.80,0.66,0.56,0.52,0.87,0.71
0.81,0.65,0.53,0.46,0.85,0.70
0.80,0.66,0.55,0.49,0.86,0.71
0.81,0.65,0.57,0.47,0.86,0.71
0.80,0.65,0.54,0.49,0.85,0.71
0.88,0.86,0.54,0.54,0.86,0.69
0.90,0.88,0.60,0.48,0.86,0.72
0.91,0.90,0.54,0.51,0.86,0.72
0.91,0.91,0.56,0.53,0.87,0.72
0.90,0.90,0.57,0.53,0.86,0.72
0.91,0.91,0.60,0.53,0.87,0.72
0.90,0.89,0.57,0.52,0.86,0.73
0.90,0.89,0.57,0.54,0.87,0.71
0.92,0.92,0.54,0.54,0.86,0.73
0.91,0.92,0.56,0.53,0.86,0.73
0.89,0.87,0.57,0.54,0.86,0.72
0.91,0.91,0.60,0.52,0.87,0.71
0.90,0.91,0.56,0.54,0.87,0.74
