46.42,58.40
67.97,68.95
75.27,76.99
82.09,77.47
86.21,79.95
87.02,77.37
89.16,77.27
90.51,78.93
91.19,79.57
91.23,81.07
92.36,78.66
92.41,77.33
93.35,81.00
93.65,81.07
93.59,78.62
93.23,81.37
93.72,74.08
92.87,81.30
92.83,80.01
93.78,80.79
93.89,75.64
93.87,80.52
94.07,81.71
94.18,87.31
93.81,85.17
92.87,84.49
94.36,83.58
94.38,82.73
90.75,89.31
93.88,87.55
94.38,88.90
94.42,87.78
94.12,85.61
94.50,87.31
94.48,89.01
94.34,89.62
94.19,90.53
94.68,90.63
94.45,89.24
94.10,88.80
94.06,88.36
93.96,88.36
93.70,91.45
93.16,90.36
94.07,89.24
94.55,90.30
94.64,90.13
94.19,89.89
94.60,90.94
94.89,90.40
