0.64,0.62,0.66,0.77,0.79,0.97
0.90,0.89,0.84,0.79,0.82,0.97
0.83,0.84,0.81,0.79,0.81,0.97
0.94,0.84,0.91,0.82,0.83,0.97
0.95,0.88,0.90,0.78,0.82,0.97
0.94,0.87,0.94,0.82,0.81,0.97
0.95,0.87,0.95,0.81,0.83,0.97
0.95,0.86,0.96,0.80,0.83,0.97
0.98,0.88,0.94,0.81,0.84,0.97
0.97,0.88,0.96,0.81,0.82,0.97
0.98,0.89,0.95,0.81,0.81,0.98
0.90,0.87,0.91,0.80,0.80,0.97
0.94,0.86,0.95,0.80,0.83,0.97
0.97,0.88,0.96,0.82,0.83,0.98
0.98,0.89,0.96,0.81,0.82,0.97
0.99,0.89,0.94,0.81,0.85,0.97
0.99,0.88,0.94,0.79,0.83,0.97
0.95,0.87,0.96,0.80,0.82,0.97
0.97,0.86,0.95,0.79,0.79,0.97
0.97,0.87,0.95,0.79,0.83,0.97
0.98,0.88,0.96,0.79,0.82,0.97
0.97,0.87,0.91,0.79,0.81,0.97
0.97,0.88,0.94,0.81,0.83,0.98
0.97,0.87,0.96,0.81,0.83,0.97
0.97,0.87,0.93,0.81,0.81,0.97
0.97,0.94,0.97,0.81,0.82,0.99
0.97,0.93,0.94,0.82,0.82,0.99
0.95,0.94,0.92,0.79,0.82,0.97
0.93,0.90,0.96,0.81,0.83,0.99
0.98,0.92,0.95,0.81,0.82,0.98
0.99,0.94,0.94,0.81,0.82,0.98
0.99,0.95,0.96,0.81,0.82,0.99
0.98,0.95,0.96,0.80,0.83,0.98
0.98,0.95,0.96,0.80,0.83,0.98
0.98,0.93,0.96,0.81,0.82,0.99
0.99,0.92,0.93,0.79,0.83,1.00
0.95,0.95,0.92,0.79,0.82,0.99
0.99,0.96,0.96,0.80,0.82,1.00
0.98,0.87,0.95,0.80,0.72,0.99
0.98,0.95,0.95,0.79,0.81,1.00
0.98,0.94,0.97,0.82,0.83,1.00
0.99,0.96,0.96,0.81,0.82,1.00
0.99,0.93,0.96,0.80,0.82,1.00
0.98,0.94,0.96,0.80,0.83,0.99
0.95,0.87,0.90,0.80,0.84,0.99
0.99,0.94,0.95,0.79,0.82,1.00
0.99,0.95,0.98,0.82,0.84,0.99
0.99,0.96,0.97,0.81,0.83,0.99
0.99,0.94,0.96,0.76,0.84,1.00
0.99,0.93,0.97,0.81,0.83,0.98
